Event Title,Date,Time,Address,Price Range
Cleveland Browns at Pittsburgh Steelers,12/8/2024,Sun 1:00 PM,"Pittsburgh, PA, USA","$104 - $1,683+"
Pittsburgh Steelers at Philadelphia Eagles,12/15/2024,Sun 4:25 PM,"Philadelphia, PA, USA","$158 - $2,644+"
Pittsburgh Steelers at Baltimore Ravens,12/21/2024,Sat 4:30 PM,"Baltimore, MD, USA","$236 - $4,711+"
Kansas City Chiefs at Pittsburgh Steelers,12/25/2024,Wed 1:00 PM,"Pittsburgh, PA, USA","$174 - $1,841+"
Cincinnati Bengals at Pittsburgh Steelers,TBD,TBD,"Pittsburgh, PA, USA",$81 - $468+
TBD at Pittsburgh Steelers: AFC Wild Card (If Necessary),TBD,TBD,"Pittsburgh, PA, USA","$239 - $2,033+"
TBD at Pittsburgh Steelers: AFC Divisional Round (If Necessary),1/26/2025,Sun TBA,"Pittsburgh, PA, USA","$286 - $2,119+"
TBD at Pittsburgh Steelers: AFC Championship (If Necessary),TBD,TBD,"Pittsburgh, PA, USA","$718 - $3,264+"
